LTER,Site_Stream_Name,Abrv,StartYear,start month,EndYear,End Month,Frequency
LUQ,RI,RI,2000,1,2015,12,12
LUQ,MPR,MPR,1998,1,2015,12,12
LUQ,QP,QP,2000,1,2015,12,12
LUQ,Q1,Q1,1998,1,2015,12,12
LUQ,Q2,Q2,1998,1,2015,12,12
LUQ,Q3,Q3,1998,1,2015,12,12
LUQ,QG,QG,2000,1,2015,12,12
LUQ,QS,QS,2000,1,2015,12,12
AND,GSMACK,GSMACK,2000,1,2015,12,12
AND,GSWS02,GSWS02,2000,1,2015,12,12
AND,GSWS08,GSWS08,2000,1,2015,12,12
AND,GSWS09,GSWS09,2000,1,2015,12,12
LMP,CB01.5,CB,2005,1,2016,12,12
LMP,DCF03,DCF,2013,1,2016,12,12
LMP,LMP73,LMP73,2000,1,2016,12,12
LMP,LTR20,LTR,2004,1,2016,12,12
LMP,MLB01,MLB,2008,1,2016,12,12
LMP,NBR12,NBR,2004,1,2016,12,12
LMP,NOR27,NOR,2004,1,2016,12,12
LMP,PWT03,PWT,2004,1,2016,12,12
LMP,RMB04,RMB,2004,1,2016,12,12
LMP,WHB01,WHB,2003,1,2016,12,12
FIN,Aura 54 ohikulku va6401,Aur,1988,1,2015,12,12
FIN,Eura 42 Pori-Rma va6900,Eur,1991,1,2015,12,12
FIN,Iijoki Raasakan voimal,Iij,1995,1,2015,12,12
FIN,Kalajoki 11000,Kal,1975,1,2012,12,12
FIN,Kelopuro 28,Kel,1989,1,2015,12,12
FIN,KEMIJOKI ISOHAARA 14000,Kem,1991,1,2015,12,12
FIN,Kiiminkij 13010 4-tien s,Kii,1995,1,2015,12,12
FIN,Kisko 14 Vanhak va6111,Kis,1996,1,2015,12,12
FIN,Kivipuro 39,Kiv,1978,1,1994,12,12
FIN,Kojo 35 Pori-Tre,Koj,1975,1,2015,12,12
FIN,Koskenkylänjoki 6030,Kos,1994,1,2015,12,12
FIN,KOTIOJA 1,Kot,1981,1,2001,12,12
FIN,Kymij Huruksela 033 5600,K.Hur,1975,1,2015,12,12
FIN,Kymijoki Ahvenkoski 001,K.Ahv,1984,1,2015,12,12
FIN,Kymijoki Kokonkoski 014,K.Kok,1988,1,2015,12,12
FIN,Lapuanjoki 9900,Lap,1996,1,2012,12,12
FIN,Lestijoki 10800 8-tien s,Les,1998,1,2015,12,12
FIN,Murtopuro 42,Mur,1978,1,1994,12,12
FIN,Oulujoki 13000,Oul,1975,1,2015,12,12
FIN,Pajo 44 Isosilta va6301,Paj,1985,1,2015,12,12
FIN,Perhonjoki 10600,Per,1982,1,2015,12,12
FIN,Pyhäjoki Hourunk 11400,Pyh,1996,1,2015,12,12
FIN,Savi 12 mittapato,Sav,2006,1,2015,12,12
FIN,Siikajoki 8-tien s 11600,Sii,1983,1,2015,12,12
FIN,SIMOJOKI AS. 13500,Sim,1991,1,2015,12,12
FIN,Skatila vp 9600,Ska,1975,1,2015,12,12
FIN,TORNIONJ KUKKOLA 14310,Tor,1991,1,2015,12,12
FIN,Uske 16 Salon yp va6101,Usk,1988,1,2015,12,12
FIN,Välipuro 38,Val,1978,1,1994,12,12
FIN,Virojoki 006 3020,Vir,2003,1,2015,12,12
FIN,Vuoksi Vastuupuomi 061,Vuo,1989,1,2015,12,12
FIN,YLIJOKI 1,Ylij,1981,1,2001,12,12
HBF,6,W6,1996,1,2015,12,12
HBF,7,W7,1996,1,2015,12,12
HBF,8,W8,1996,1,2015,12,12
HBF,9,W9,1996,1,2015,12,12
KNZ,edlr,edlr,1994,1,2016,12,12
KNZ,hikx,hikx,1994,1,2016,12,12
WBR,WB,WB,1989,1,2008,12,12
BNZ,C1,C1,2002,5,2010,8,4
BNZ,C2,C2,2002,5,2010,8,4
BNZ,C3,C3,2002,5,2010,8,4
BNZ,C4,C4,2002,5,2010,8,4
BNZ,CB,CB,2002,5,2010,8,4
BNZ,CJ,CJ,2002,5,2010,8,4
BNZ,P6,P6,2005,5,2010,8,4
BNZ,PC,PC,2002,5,2010,8,4
BNZ,PJ,PJ,2002,5,2010,8,4
